"eventid","iyear","imonth","iday","extended","country","country_txt","provstate","city","multiple","success","attacktype1","attacktype1_txt","targtype1","targtype1_txt","target1","gname","weaptype1","weaptype1_txt","weapsubtype1_txt","weapdetail","property","propextent_txt","ishostkid"
197001200001,1970,1,20,0,83,Guatemala,Guatemala,Guatemala City,0,1,1,Assassination,7,Government (Diplomatic),"Bodyguard, British Consul",Unknown,13,Unknown,,,0,,0
197003060001,1970,3,6,1,83,Guatemala,Guatemala,Guatemala City,0,1,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),"Sean Holley, U.S. labor attache, U.S. embassy",Rebel Armed Forces of Guatemala (FAR),5,Firearms,Automatic or Semi-Automatic Rifle,Submachine guns,0,,1
197003310001,1970,3,31,1,83,Guatemala,Guatemala,Guatemala City,0,1,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),"Count Karl Von Spreti, ambassador to Guatemala",Rebel Armed Forces of Guatemala (FAR),13,Unknown,,,0,,1
197007110001,1970,7,11,0,83,Guatemala,Unknown,Unknown,0,1,6,Hostage Taking (Kidnapping),1,Business,businessman,Rebel Armed Forces of Guatemala (FAR),13,Unknown,,,0,,1
197101210001,1971,1,21,0,83,Guatemala,Unknown,Unknown,0,1,2,Armed Assault,8,Educational Institution,U.S. School,Unknown,5,Firearms,Automatic or Semi-Automatic Rifle,Automatic firearm,1,Unknown,0
197211050001,1972,11,5,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,6,Airports & Aircraft,Pan Am Main Ticket Office,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
197211150001,1972,11,15,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,7,Government (Diplomatic),"5th International Trade Fair",Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,,0
197304290001,1973,4,29,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,1,Business,,Unknown,6,Explosives,Unknown Explosive Type,Explosive,1,Unknown,0
197402000001,1974,2,0,0,61,El Salvador,Santa Ana,Chalchuapa,0,1,3,Bombing/Explosion,3,Police,police station,Unknown,6,Explosives,Unknown Explosive Type,Chlorate bomb,1,,0
197403060001,1974,3,6,0,61,El Salvador,San Salvador,San Salvador,0,1,2,Armed Assault,2,Government (General),Central Election Counsel Offices,Unknown,5,Firearms,Handgun,Pistols,1,Minor (likely < $1 million),0
197403280001,1974,3,28,1,83,Guatemala,Guatemala,Guatemala city,0,1,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,"Juan de Dios Aguizar de Leon, wealthy landowner",Rebel Armed Forces of Guatemala (FAR),13,Unknown,,,0,,1
197404300001,1974,4,30,0,61,El Salvador,San Salvador,San Salvador,0,1,3,Bombing/Explosion,7,Government (Diplomatic),chilean embassy offices,People's Revolutionary Army (ERP) (El Salvador),6,Explosives,Unknown Explosive Type,Explosive,1,Minor (likely < $1 million),0
